gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used
500000,280720000000,1647558,176367
500000,260000000000,12290624,176535
500000,284000000000,7194418,176703
500000,294000000000,10851353,36147
500000,290000000000,12358672,176667
500000,283800000233,4483036,35785
500000,275000000000,8019619,176715
500000,282000000000,12764008,176379
500000,282000000000,13324086,36327
500000,259000000000,9142500,176223
500000,242000000000,11855300,176403
500000,236000000000,7276747,176595
500000,292695000000,2783134,238727
500000,301000000000,1841614,176343
500000,299000000000,13696983,173186
500000,299000000000,13523797,176883
500000,278300000000,14461061,176835
500000,300000000000,4428290,176655
500000,347020000000,10860424,36831
500000,351000000000,10091982,36447
500000,348700000000,10055535,36411
500000,345000000000,4014632,176655
500000,319000000000,11127104,176355
500000,365000000000,11710710,176379
500000,362000000000,7686732,176379
500000,360000000000,5783756,176583
500000,332724000000,9844882,176199
500000,319000000000,2767145,176199
500000,301000000000,12191486,36507
500000,309000000000,12227645,36159
500000,300105070292,11972539,176559
500000,313000000000,2152980,176799
500000,336600000000,5891700,176163
500000,320100000000,5930594,176367
500000,383000000000,3522899,176571
500000,373100000000,7789183,235977
500000,379000000000,8493212,176379
500000,376800000000,12385109,173570
500000,371687500000,9152967,176199
500000,357500000000,6341229,36735
500000,357500000000,14274599,176391
500000,357500000000,13441969,36423
500000,355000000000,7865265,176571
500000,357000000000,8349312,176787
500000,348480000000,811514,176403
500000,348480000000,7873424,36181
500000,350000000000,6994703,238667
500000,349000000000,5916645,176355
500000,347000000000,5704444,176211
500000,330000000000,3179306,176499
500000,327000000000,3237905,176871
500000,322000000000,7792553,174495
500000,283000001459,5060242,229577
500000,302000000000,8215956,175035
500000,286000000000,10463585,239027
500000,285930368309,3973379,36119
500000,273000000000,8733027,176211
500000,233000000000,2069525,36075
500000,233000000000,1391518,36303
500000,233000000000,1318912,36363
500000,234300000000,7582413,177063
500000,265000000000,1805950,171841
500000,275000000000,2122297,176715
500000,273000000000,11671619,36507
500000,272000000000,11635112,36135
500000,270000000000,11456230,176823
500000,269000000000,10973206,174879
500000,413000000000,4540638,176799
500000,439000000000,2928489,36147
500000,435000000000,10182974,36315
500000,447000000000,3840039,176571
500000,447000000000,5086954,176547
500000,447000000000,6683651,171877
500000,410000000000,6260805,176811
500000,421000000000,3030041,176547
500000,434000000000,3282972,176367
500000,444000000000,11444324,176523
500000,441780000000,10600115,239015
500000,450000000000,5117082,176607
500000,447700000000,10677572,176631
500000,432300000000,11370745,36159
500000,445000000000,11547604,176859
500000,433000000000,12700908,36315
500000,424000000000,13680435,36315
500000,416164405939,13644120,36615
500000,411000000022,13607505,36111
500000,396270000000,11537923,36145
500000,390000000000,11325567,36159
500000,396000000000,11501778,176211
500000,393000000000,8414302,36315
500000,396270000000,11714302,176379
500000,393000000000,14059329,36351
500000,393000000000,14095764,36435
500000,363300000000,8807146,177027
500000,372000000000,10057383,36171
500000,363300000000,10021212,36159
500000,376000000000,10233786,176403
500000,355000000000,5768976,175035
500000,328000000000,13204901,174879
500000,314000000000,13030022,36135
500000,348000000000,13375553,170652
500000,312000000000,8438747,36519
500000,300000000000,8402228,176595
500000,312000000000,8474894,36147
500000,376800000000,1529510,36531
500000,376800000000,1602044,36147
500000,376800000000,1565897,36387
500000,375600000000,1492979,35807
500000,299000000000,8225633,36133
500000,290000000000,6729880,176331
500000,282100001751,5174361,175251
500000,290000000001,14317928,176775
500000,383000000000,9054173,176571
500000,383000000000,3438438,176691
500000,366000000000,7039365,238991
500000,389000000000,11806960,176523
500000,381000000000,4608696,176559
500000,378000000000,4551372,36159
500000,374000000000,2514773,176379
500000,374000000000,5792839,176559
500000,376000000000,8915028,152760
500000,352000000000,2901054,176847
500000,347600000000,6026832,238691
500000,310200000000,9812713,176151
500000,297000000000,4615640,36339
500000,303000000000,2960703,176631
500000,320000000000,8004625,176583
500000,291720000000,5034972,176895
500000,312000000000,3147551,176871
500000,306000000000,5816514,176415
500000,306000000000,4043593,176703
500000,304000000000,5030734,176403
500000,294800000000,8229431,238679
500000,363000000000,9777314,36135
500000,404000000000,926356,176559
500000,393800000000,2833472,176379
500000,393800000000,2680051,176355
500000,395000000000,4585797,177063
500000,416000000000,7105770,176547
500000,417000000000,6084459,176727
500000,407000000000,8725231,170436
500000,386000000000,8157559,176199
500000,434000000000,4903857,152820
500000,431000000000,3940962,176823
500000,347000000000,13081652,176415
500000,366000000000,5700391,175035
500000,420000000000,4825005,176691
500000,382000000000,7480592,32983
500000,345000000000,9710129,36193
500000,326600000000,2844390,176787
500000,336000000000,6832825,176619
500000,348000000000,8235506,176331
500000,345000000000,4254099,176403
500000,331250001823,11519271,176547
500000,330000000000,5847388,176427
500000,301000000000,8736687,176415
500000,302000000000,8247867,176715
500000,275000000000,11015915,176547
500000,208000000000,9670882,176391
500000,204000000000,7435561,176355
500000,203000000000,3956973,176391
500000,197000000000,1931808,176367
500000,197000000000,9899840,36171
500000,166000000000,5240211,176801
500000,158000000000,5092418,176751
500000,145000000000,9950766,176859
500000,170400000000,346916,36123
500000,131000000000,176127,176127
500000,130000000000,11690769,36406
500000,117300000000,13857137,36327
500000,117000000000,11179418,176211
500000,107000000000,12081816,239027
500000,121000000000,11765760,176811
500000,125000000000,3141722,177075
500000,123000000001,3917755,176403
500000,173000000000,582700,176871
500000,169000000000,6201459,176631
500000,175000000000,4880967,173858
500000,167000000000,12202716,238643
500000,167000000000,11964073,176643
500000,162800000000,3861460,176907
500000,132000000000,4437519,174879
500000,137500000000,1072626,176907
500000,131000000000,7433205,36603
500000,131000000000,7189790,176679
500000,126000000000,6478511,176643
500000,122100000000,11114182,176367
500000,120000000000,7127116,172347
500000,122000000000,4108405,35967
500000,127600000000,6688230,176655
500000,156000000000,1172528,36663
500000,111000000000,8040513,176391
500000,123200000000,10879816,176175
500000,110250000000,1817231,176847
500000,110000000000,1278557,177063
500000,118000000000,322643,238643
500000,118800000000,1645636,238727
500000,103400000000,11556217,36351
500000,103000000000,9576579,176801
500000,103000000000,8443298,176595
500000,101000000001,4309654,176379
500000,122000000000,9319585,36660
500000,114000000000,1773311,176367
500000,105760800000,7169203,174891
500000,89000000000,9003169,176435
500000,93412759688,7969087,239071
500000,94000000000,4631618,176783
500000,124000000000,6772205,36648
500000,123000000000,6228727,176883
500000,122100000000,10496821,176211
500000,126000000000,3509298,152832
500000,130500000000,6571046,238739
500000,132000000000,7363957,176667
500000,130000000000,2154077,176175
500000,122500001823,7393256,176403
500000,120000000000,10146043,176403
500000,120000000000,9663116,176631
500000,121250000000,10635145,176403
500000,118000000000,12616554,36303
500000,127200000000,9006788,238607
500000,125400000000,9915496,176415
500000,124000000000,8960841,176379
500000,111000000000,10863687,176415
500000,124900000000,7277079,171841
500000,126000000000,2301698,176559
500000,125000000000,7301315,176403
500000,121000000000,2328026,176379
500000,116000000000,987254,176379
500000,108000000000,2765273,176343
500000,109000000000,6373263,176379
500000,110000000000,5350140,176631
500000,104400000000,4271863,35345
500000,101000000000,6980498,174867
500000,101200000000,11576805,176391
500000,101000000000,11197995,176367
500000,101000000000,5464848,176559
500000,90000000000,10981122,36205
500000,90000000000,11916145,36171
500000,100000000000,10502292,176379
500000,99000000000,10340308,176555
500000,94000000000,9432392,176447
500000,93000000000,9416762,176771
500000,90000000000,12239660,172065
500000,90000000000,7339036,176627
500000,92000000000,499581,176879
500000,101000000000,1944620,176403
500000,99000000000,12326494,176509
500000,105000000000,9028797,36217
500000,105000000000,11321467,176391
500000,110000000000,699164,175227
500000,119000000000,1199181,176379
500000,120000000000,6795512,36423
500000,104000001459,11102502,36423
500000,99000000000,5462235,174851
500000,99000000000,5851420,176591
500000,108000000000,5529335,173366
500000,103000000000,7572001,36205
500000,110000000000,9043659,235665
500000,104500000000,13261725,36411
500000,143000000000,8274569,175131
500000,140000000000,5895764,176703
500000,141000000000,2287804,176429
500000,142232700000,13466770,176691
500000,112000000000,6963769,176631
500000,100000000000,622145,176379
500000,120000000000,4289210,176343
500000,121250001823,6984917,176391
500000,138600000000,12036993,176415
500000,176000000000,5160210,176415
500000,176000000000,7297526,176379
500000,162800001604,11209597,176583
500000,162800001604,10554455,176883
500000,196900000000,1610016,176367
500000,287300000000,3104556,176717
500000,296000000000,8700590,176391
500000,287000000000,6100353,36147
500000,286000000000,9683710,176655
500000,280275000000,10731387,176391
500000,281250000000,10908102,176715
500000,281250000000,11084961,176859
500000,270000000000,13837877,36327
500000,270000000000,14614040,176667
500000,289000000000,4629939,176367
500000,280500000001,6459385,176211
500000,283750000000,6025740,176391
500000,281000000000,7653988,36483
500000,270000000000,3961277,176391
500000,285000000000,6682153,238727
500000,271000000000,14108804,35917
500000,246000000000,7658404,36459
500000,235050000000,10633612,176859
500000,207900000000,8564672,176921
500000,212000000000,5879664,176631
500000,173030001764,13474619,173774
500000,154000000000,5270920,172093
500000,153000000000,4404800,176391
500000,148000000000,13241429,176907
500000,137000000000,6044599,176223
500000,150000000000,4650234,176547
500000,159500000000,5073988,36327
500000,168000000000,710929,176583
500000,175000000000,7441630,36639
500000,160000000000,10866284,176547
500000,137000000000,5433457,238631
500000,205000000000,2564857,176391
500000,239800000000,11568480,176523
500000,247520000000,8217910,176655
500000,240900000000,6336681,176499
500000,222000000000,10816875,176631
500000,219000000000,9968637,173822
500000,204490000000,14054352,176583
500000,196900000000,7144760,36553
500000,188760000000,13302898,175287
500000,187000000000,10124312,36241
500000,184000000000,3878044,176909
500000,168000000000,4661323,36351
500000,161000000000,8848750,176703
500000,200000000000,9904212,36303
500000,194000000000,7241403,175263
500000,168000000000,14405029,176763
500000,194000000000,14106420,36423
500000,287430000000,6749596,176439
500000,345000000000,3610003,176391
500000,343200000000,6159019,176739
500000,350000000000,6590873,176523
500000,317000000000,11886908,176811
500000,306000000000,10231088,36663
500000,287470543067,8666538,176811
500000,297000000000,12157525,176403
500000,300000000000,2493998,176741
500000,290000000000,11116298,36279
500000,289000000000,11080019,174879
500000,292800000000,11152241,35943
500000,357075000000,818115,36603
500000,297562500000,6999312,175083
500000,357075000000,635520,36147
500000,282000000000,6413460,36303
500000,292500000000,6824229,176907
500000,282000000000,6647322,36303
500000,274000000000,1417397,36639
500000,262000000000,7084156,176487
500000,260000000000,8195093,175047
500000,247000000000,1519142,176367
500000,247000000000,2032502,36183
500000,222200000000,11352874,36423
500000,248750000000,1971393,176895
500000,235000000000,9501287,176835
500000,225000000000,7681749,44540
500000,209000000000,5437510,176895
500000,178000000000,7263110,36495
500000,102000000000,3897795,176331
500000,100000000000,13616124,239015
500000,95000000000,10498620,36147
500000,68000000000,3192080,35941
500000,73700000000,3202400,176423
500000,69000000000,4826268,36651
500000,75000000000,5706893,176939
500000,109000000000,9443803,176127
500000,101000000000,9466576,176583
500000,115500000000,4871928,176391
500000,116600000000,7591304,238667
500000,126000001561,8475473,235977
500000,137000001459,12327981,35977
500000,99000000000,6232050,175067
500000,96800000000,8040759,176917
500000,60000000000,6351420,177025
500000,57200000000,9127673,168740
500000,56000000000,14482573,176579
500000,53000000000,9791754,235709
500000,51700000000,6129793,176387
500000,50000000000,5872995,176759
500000,46000000000,14479275,36447
500000,57000000000,5862490,176411
500000,55000000000,12064981,238699
500000,56000000000,8233714,176735
500000,71000000000,4081468,176831
500000,64000000000,8166908,176579
500000,64000000000,7912940,176879
500000,58300000000,8468634,36135
500000,67500000000,8242133,176375
500000,62000000000,11458254,36495
500000,58800000000,10720469,36147
500000,58750001543,11076058,176387
500000,53000000000,2084898,176555
500000,50600460345,298146,176375
500000,49500000000,13666383,176603
500000,50000000000,9580465,176219
500000,45000000000,12633010,170504
500000,55660000256,6825133,176591
500000,56000000000,10896299,176591
500000,60000000000,2395959,176675
500000,58000000000,5465626,176639
500000,59000000000,2142185,176591
500000,58000000000,10166078,176411
500000,58000000000,9907139,238723
500000,57000000000,3052823,174887
500000,55000000000,14238197,36387
500000,55000000000,7238828,176399
500000,53625000000,5010055,36159
500000,53750000000,11338186,176567
500000,64000000000,2479541,36159
500000,63000000000,12167763,176579
500000,62000000000,10886199,176375
500000,57000000000,12278019,176411
500000,58300000000,10461786,238675
500000,52000000000,13962061,176509
500000,66000000000,7008593,176219
500000,71314000000,1247323,171873
500000,72000000000,6607522,231410
500000,75000000000,10676598,173842
500000,77000000000,10569545,35795
500000,77000000000,6992511,176915
500000,77000000000,1697829,176351
500000,74000000000,5972057,176675
500000,70000000000,9590979,36363
500000,70400000000,4160394,176423
500000,70000000000,7951273,176399
500000,67500000000,5164196,176843
500000,70000000000,808437,176807
500000,71000000000,8592221,176507
500000,66000000000,8359396,174875
500000,69502015172,6238341,176879
500000,73000000000,13330001,239047
500000,120000000000,7267194,176367
500000,119900000000,7233670,176811
500000,120009204513,5704604,176631
500000,129000000000,9949674,176391
500000,120719389826,9948677,35747
500000,125000000000,4969612,176907
500000,124800001896,1651971,239051
500000,137000000000,877897,176835
500000,128000000000,13366387,176883
500000,125000000000,13611791,176475
500000,124300000000,9305349,176547
500000,124000000000,11305562,176367
500000,115000000000,12033164,175323
500000,126000000000,728491,176367
500000,126000000000,6079935,175431
500000,118300000000,10763603,176391
500000,114000000000,12950119,176379
500000,121000000000,5930690,176583
500000,120000000000,7339619,173774
500000,120000000000,8194402,36291
500000,120000000000,6968306,36119
500000,119000000000,8787279,237130
500000,119000000000,10153651,176667
500000,97650000000,5446757,176351
500000,99000000000,8505403,176879
500000,97000000000,8754446,35989
