gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used
500000,298000000000 ,6933533,176379
500000,300000000000 ,7106911,173378
500000,289970000000 ,7835650,177039
500000,293000000000 ,4841354,173942
500000,294000000000 ,7046574,174879
500000,276000000000 ,5200757,238703
500000,270000000000 ,13278441,238703
500000,295100000000 ,5880532,176355
500000,301250000000 ,5494529,176355
500000,312000000000 ,2380690,175119
500000,316000000000 ,3153586,176691
500000,316000000000 ,1789512,176655
500000,315000000000 ,6068035,176379
500000,264000000000 ,6900124,176571
500000,260260000106 ,3688656,176643
500000,274000000000 ,2685868,176571
500000,264000000000 ,10456729,176859
500000,301000000000 ,8872731,176379
500000,339000000000 ,8836684,176979
500000,346000000000 ,4595457,174999
500000,398000000000 ,1561454,175791
500000,396000000000 ,9071509,176343
500000,383000000000 ,7355663,176391
500000,374000000000 ,9386259,176391
500000,369600000000 ,3026646,176379
500000,349000000000 ,4931685,169200
500000,349000000000 ,2784651,176403
500000,350000000000 ,3281473,176403
500000,376000000000 ,4096607,174855
500000,378000000000 ,6118166,176643
500000,340000000000 ,8710999,176871
500000,310000000000 ,10333781,176595
500000,383000000000 ,4896784,176607
500000,393000000000 ,1721831,176331
500000,383000000000 ,5416893,229589
500000,383000000000 ,5297607,176391
500000,383000000000 ,1786633,176691
500000,350427000000 ,6595879,176355
500000,293000000000 ,14168433,176319
500000,310000000000 ,710434,176379
500000,307000000000 ,889062,176847
500000,307000000000 ,712215,176379
500000,294000000000 ,11135163,238631
500000,290000000000 ,6666409,176367
500000,285000000000 ,3503183,176379
500000,274000000000 ,5432883,176367
500000,274000000000 ,762570,176811
500000,274000000000 ,4440886,174843
500000,250000000000 ,9373862,176307
500000,279000000000 ,2113506,176403
500000,279000000000 ,5537853,175299
500000,266700000000 ,6210334,176391
500000,280000000000 ,5742063,176607
500000,280000000000 ,5454059,176955
500000,380100000000 ,6966841,175431
500000,400000000000 ,6794677,176403
500000,440000000000 ,10527291,176871
500000,440000000000 ,2191063,176343
500000,449000000000 ,4123863,176871
500000,444000000000 ,8836036,176679
500000,455000000000 ,4204358,176655
500000,453000000000 ,5086481,177039
500000,460000001561 ,5480682,174879
500000,465000000000 ,5283882,176367
500000,461500000000 ,7116732,36183
500000,461500000000 ,7293831,177099
500000,461500000000 ,7470546,176715
500000,448051500000 ,4286038,36579
500000,452000000000 ,4462405,176367
500000,424000000000 ,13823116,177111
500000,424000000000 ,13526626,176427
500000,412000000000 ,4947918,36459
500000,399000000000 ,12631343,35749
500000,410000000000 ,12807722,176379
500000,395000000000 ,1718481,176391
500000,393265125000 ,13564850,238955
500000,393000000000 ,13325895,36147
500000,393000000000 ,14499833,176367
500000,486250000000 ,2878320,176691
500000,389000000000 ,14244513,176631
500000,371250000000 ,10067772,176403
500000,358800000000 ,5173087,176427
500000,314000000000 ,8882780,36303
500000,392500000000 ,946271,174891
500000,392500000000 ,1122650,176379
500000,386750000000 ,408417,176355
500000,375000000000 ,4389125,176367
500000,299000000000 ,1406358,36171
500000,297000000000 ,5684014,176403
500000,297000000000 ,5234611,176415
500000,297000000000 ,9496250,175275
500000,300000000000 ,8016783,238667
500000,301000000000 ,9693992,176367
500000,325000000000 ,980395,176391
500000,355000000000 ,3763733,176415
500000,356000000000 ,4809394,176403
500000,387000000000 ,4725496,174879
500000,406000000000 ,2955699,176775
500000,403000000000 ,7374052,176559
500000,405000000000 ,1876992,176331
500000,413000000000 ,2024998,176571
500000,404000000000 ,13033347,176523
500000,313575000000 ,2748202,176403
500000,292825000000 ,7707555,171841
500000,313000000000 ,5064871,176535
500000,321000000000 ,3420501,176547
500000,320000000000 ,5364100,176847
500000,322000000000 ,1399155,176499
500000,308000000000 ,4226727,176379
500000,307000000000 ,4277696,176355
500000,344000000000 ,6576581,176391
500000,348000000000 ,4409518,176379
500000,424790000000 ,7995069,176391
500000,424790000000 ,7818678,176273
500000,427000000000 ,11993980,176331
500000,422000000000 ,4808707,176607
500000,422000000000 ,7239604,176595
500000,409000000000 ,1601421,176547
500000,405000000000 ,2386298,176391
500000,431860000000 ,3877478,176367
500000,447000000000 ,3183782,176571
500000,442000000000 ,1873268,176501
500000,440000000000 ,5381468,176571
500000,434000000000 ,7586536,176547
500000,427000000000 ,5350713,239039
500000,412000000000 ,12914580,36315
500000,400000000000 ,4611513,175287
500000,396000000000 ,6386927,176391
500000,429000000000 ,2196611,176871
500000,342465001728 ,8270357,176355
500000,322300000000 ,4411327,173786
500000,308000000000 ,3379400,176655
500000,325338319845 ,4915943,176559
500000,350000000000 ,7860007,176367
500000,345000000000 ,3601577,176523
500000,315600001751 ,4821147,176331
500000,361900000000 ,2283151,176619
500000,351000000000 ,5388180,176667
500000,340000000000 ,260588,176379
500000,340000000000 ,3211350,173558
500000,319000000000 ,7444679,176319
500000,311300000000 ,5790664,175059
500000,239000000000 ,6985595,176403
500000,233000000000 ,11031435,176307
500000,233000000000 ,11494950,177051
500000,226000000000 ,14055490,175815
500000,218000000000 ,9428275,176355
500000,215000000000 ,4478169,176343
500000,208800000000 ,418729,176391
500000,172000000000 ,5295024,173570
500000,168300001605 ,3448645,176883
500000,165600000000 ,9689483,176403
500000,151000000000 ,7328973,176403
500000,183600000000 ,2966776,35627
500000,139000000000 ,3970457,176679
500000,127600000000 ,8890292,177063
500000,118000000000 ,5941127,176379
500000,115000000000 ,10699838,238991
500000,102000000000 ,5871918,176403
500000,111000000000 ,4963456,177027
500000,123000000000 ,494167,176835
500000,144000000000 ,488083,176391
500000,146000000000 ,1317672,175299
500000,150000000000 ,6271388,176367
500000,186000000000 ,12441986,235677
