gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used
400000,294000000000 ,2802592,173726
400000,287700000000 ,2485180,152844
400000,302000000000 ,3089022,175239
400000,300000000000 ,5643441,176571
400000,323000000000 ,3371388,175311
400000,293000000000 ,13564157,176367
400000,295000000000 ,7253044,176367
400000,293000000000 ,10587025,176715
400000,286000000000 ,3728777,176367
400000,272400001750 ,1991469,176355
400000,272000000000 ,13938067,176319
400000,272000000000 ,7810912,176967
400000,260000000000 ,10142261,176727
400000,291800000000 ,2443254,152820
400000,296000000000 ,7977844,36351
400000,276000000000 ,6374027,35755
400000,241000000000 ,11033172,176475
400000,319000000000 ,2242497,176403
400000,309000000000 ,6723469,176667
400000,311000000000 ,3181896,172141
400000,293304000000 ,1794956,176595
400000,325000000000 ,2650883,174711
400000,273750000000 ,7223997,176331
400000,256000000000 ,4962212,176595
400000,241000000000 ,9357259,176295
400000,250000000000 ,8717168,176367
400000,250000000000 ,8257238,176967
400000,261000000000 ,6720738,176379
400000,240000000000 ,7008493,176319
400000,295000000000 ,3304889,176895
400000,294800000000 ,7806345,238715
400000,297000000000 ,9668636,176415
400000,339000000000 ,4669151,176787
400000,324500000000 ,3506740,176379
400000,306500000000 ,6217045,176799
400000,349000000000 ,5603278,239027
400000,361000000000 ,11521658,176523
400000,368300000000 ,6392616,238727
400000,430800000000 ,2732590,176643
400000,433200000000 ,2768749,36159
400000,433200000000 ,2945596,176847
400000,354000000000 ,1890457,176655
400000,333000000000 ,8642606,176355
400000,333000000000 ,8818973,176367
400000,341000000000 ,3825385,239075
400000,344300000000 ,1343186,176787
400000,379000000000 ,7061631,176367
400000,356400000000 ,6986965,176571
400000,351000000000 ,7612433,176823
400000,309000000000 ,9050120,176427
400000,353000000000 ,2685124,176595
400000,306900000000 ,13802172,36507
400000,306900000000 ,13765665,36171
400000,382000000000 ,3367736,36147
400000,380000000000 ,11095234,152796
400000,370000000000 ,5504508,176403
400000,360000000000 ,6610094,176355
400000,351000000000 ,9714179,176811
400000,349000000000 ,4038628,176367
400000,354000000000 ,4263605,176559
400000,338976000000 ,8231587,152940
400000,332000000000 ,7754263,176847
400000,321000000000 ,9380376,176415
400000,332000000000 ,533030,176583
400000,304000000000 ,7336769,176895
400000,299000000000 ,13288699,176703
400000,307000000000 ,5799146,176811
400000,286000000000 ,8042549,176739
400000,313000000000 ,4326604,176391
400000,311000000000 ,3998102,176331
400000,289000000000 ,3188410,173366
400000,289000000000 ,5317452,176391
400000,273000000000 ,6615105,175191
400000,232000000000 ,11905203,176871
400000,248000000000 ,14757746,176871
400000,279000000000 ,5049768,176979
400000,278000000000 ,11679428,176955
400000,278000000000 ,3283026,176211
400000,277000000000 ,10077412,176739
400000,275000000000 ,5355775,175467
400000,235000000000 ,8017041,176175
400000,270000000000 ,7123053,176187
400000,273000000000 ,3142001,177027
400000,246000000000 ,6273073,176859
400000,367750000000 ,1433365,176835
400000,440000000000 ,1944269,176667
400000,439000000000 ,11060300,176655
400000,444000000000 ,2190492,176379
400000,444000000000 ,2367063,176571
400000,445000000000 ,3313869,176355
400000,447000000000 ,1986512,176547
400000,448000000000 ,3556478,176667
400000,402000000000 ,5760235,173366
400000,494000000000 ,4657954,175407
400000,446000000000 ,8917263,176607
400000,446000000000 ,9093654,176391
400000,458000000000 ,2347065,176391
400000,451950000000 ,8262993,176403
400000,465349500000 ,3261305,176391
400000,478000000000 ,6292740,176391
400000,452000000000 ,5618093,175143
400000,452000000000 ,8011194,176355
400000,427000000000 ,14656121,176739
400000,427000000000 ,14479382,238595
400000,418000000000 ,8809779,35749
400000,424000000000 ,8986398,176619
400000,418000000000 ,8277107,176679
400000,411400000000 ,7834826,238703
400000,408571428571 ,12642833,176835
400000,396000000000 ,7556768,176943
400000,349000000000 ,11419337,174795
400000,349000000000 ,11596136,176799
400000,348000000000 ,6079503,174711
400000,348000000000 ,6255387,43543
400000,348000000000 ,4684712,176355
400000,348000000000 ,4721339,36627
400000,348000000000 ,4757510,36171
400000,417600000000 ,195879,174879
400000,406800000000 ,232062,36183
400000,348000000000 ,4508357,176223
400000,417600000000 ,3469950,176607
400000,396000000000 ,3293343,176667
400000,297000000000 ,5785755,176367
400000,299000000000 ,1858814,173378
400000,273000000000 ,10553657,176679
400000,296000000000 ,2812026,176379
400000,287882000000 ,14417112,35987
400000,315000000000 ,8070541,176811
400000,315000000000 ,7893730,176403
400000,329000000000 ,4598194,176523
400000,394000000000 ,1638428,176847
400000,401000000000 ,8454308,174843
400000,389000000000 ,5100686,176511
400000,406000000000 ,3188673,175287
400000,394852500000 ,5747432,36303
400000,404000000000 ,9704726,152808
400000,379000000000 ,7997674,176727
400000,387500000000 ,5547006,238715
400000,345400000000 ,7900130,176463
400000,362000000000 ,2105533,176571
400000,316000001561 ,4297454,176619
400000,296000000000 ,6015257,175167
400000,321000000000 ,1531627,176979
400000,322000000000 ,6667104,176331
400000,310000000000 ,3742914,176799
400000,302000000000 ,6471965,32995
400000,305000000000 ,13027918,176499
400000,309000000000 ,4211175,32836
400000,309000000000 ,8952016,176919
400000,308000000000 ,8864805,35905
400000,355390000000 ,7587998,175131
400000,400000000000 ,11854727,176403
400000,433000000000 ,3727596,176379
400000,418000000000 ,3642003,176619
400000,416000000000 ,9578703,152844
400000,407550000302 ,3584916,176535
400000,407000000000 ,5550676,176355
400000,374400000000 ,9963548,176463
400000,403000000000 ,6713185,151356
400000,394100000000 ,14339398,176619
400000,431000000000 ,3624064,174831
400000,430000000000 ,1946583,152868
400000,430000000000 ,5567567,176367
400000,430000000000 ,5895494,152832
400000,426000000000 ,6864244,176511
400000,426000000000 ,3808054,176379
400000,424000000000 ,4010475,176367
400000,425000000000 ,5804336,176847
400000,411700000000 ,9069875,152844
400000,400000000000 ,4301972,176559
400000,350000000000 ,5127940,176403
400000,332350001678 ,7628071,174879
400000,357000000000 ,8080868,176679
400000,356000000000 ,11293401,176379
400000,356000000000 ,11491200,176799
400000,272600000000 ,3741343,237454
